Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Gaussian,agriculture-arable-clouds-countryside.png,27.43725524694712,0.21658501246349174,-0.00926386780347368
1024x1024,Gaussian,allgau-eisenberg-ostallgau-bavaria-161097.png,27.41529594052174,0.2531990216439503,-0.0254803192638413
1024x1024,Gaussian,amazing-animal-beautiful-beautifull.png,27.423966386892673,0.2633321544007406,0.009848139823008802
1024x1024,Gaussian,amazing-beautiful-beauty-blue.png,27.484352880157125,0.369714535575307,0.025898576212657284
1024x1024,Poisson,agriculture-arable-clouds-countryside.png,27.34280844747904,0.43394600931545585,-0.07818994139645427
1024x1024,Poisson,allgau-eisenberg-ostallgau-bavaria-161097.png,27.56654068480441,0.4495119072893638,-0.04054071272487576
1024x1024,Poisson,amazing-animal-beautiful-beautifull.png,27.619821799073204,0.44439422997846345,0.06408693379122653
1024x1024,Poisson,amazing-beautiful-beauty-blue.png,27.485617605132724,0.496533334217487,-0.05105557983810135
1024x1024,SaltPepper,agriculture-arable-clouds-countryside.png,27.563659580860026,0.17490228572347738,0.005312012684766304
1024x1024,SaltPepper,allgau-eisenberg-ostallgau-bavaria-161097.png,27.576103220967138,0.17412503049614664,0.008862546514628684
1024x1024,SaltPepper,amazing-animal-beautiful-beautifull.png,27.995347581420823,0.1672771965813982,0.015943477799655128
1024x1024,SaltPepper,amazing-beautiful-beauty-blue.png,27.540334353061574,0.17764187219673397,-0.008892758329150494
1024x1024,Speckle,agriculture-arable-clouds-countryside.png,27.374708868693446,0.30597952863917005,-0.01760219845564972
1024x1024,Speckle,allgau-eisenberg-ostallgau-bavaria-161097.png,27.492481680669435,0.20610525250573145,0.02541896051232701
1024x1024,Speckle,amazing-animal-beautiful-beautifull.png,27.480313344425916,0.3306128591642476,0.014370454998789806
1024x1024,Speckle,amazing-beautiful-beauty-blue.png,27.53765021508638,0.31610463535967454,-0.014121625809383432
1024x1024,Uniform,agriculture-arable-clouds-countryside.png,27.28178582590065,0.397448966614487,-0.020480183088000026
1024x1024,Uniform,allgau-eisenberg-ostallgau-bavaria-161097.png,28.277995873458217,0.3242363589080154,-0.0027548425522344075
1024x1024,Uniform,amazing-animal-beautiful-beautifull.png,27.315573171634618,0.3931631840812482,0.05701605887234286
1024x1024,Uniform,amazing-beautiful-beauty-blue.png,27.402383038427377,0.422257516483442,-0.03249299951465419
2048x2048,Gaussian,above-adventure-aerial-air.png,27.47398502760248,0.19092321974424314,0.01109977531052049
2048x2048,Gaussian,african-daisy-flower-nature-flora-41960.png,27.67095297316073,0.2032995361727577,0.00898012364139182
2048x2048,Gaussian,air-bubbles-diving-underwater-blow-62307.png,27.427683588772904,0.20273153301730554,0.004862091290239857
2048x2048,Gaussian,alaska-wilderness-sky-aurora-borealis-41004.png,27.490114805384586,0.16798169020213002,0.008390571788432149
2048x2048,Poisson,above-adventure-aerial-air.png,27.48639413437852,0.524648794907141,0.00910782862016434
2048x2048,Poisson,african-daisy-flower-nature-flora-41960.png,27.346698632385177,0.43598456393269347,0.003999726352225414
2048x2048,Poisson,air-bubbles-diving-underwater-blow-62307.png,27.204725548453514,0.4175439342759604,-0.005737628787253488
2048x2048,Poisson,alaska-wilderness-sky-aurora-borealis-41004.png,27.518362413994982,0.45813143295465647,0.0027607922673148896
2048x2048,SaltPepper,above-adventure-aerial-air.png,27.58809038386378,0.19298749854113742,-0.01829895022998917
2048x2048,SaltPepper,african-daisy-flower-nature-flora-41960.png,27.498274712302127,0.22905679487224073,0.006463707621099502
2048x2048,SaltPepper,air-bubbles-diving-underwater-blow-62307.png,27.428762281924417,0.20900706697861415,-0.012333622697327207
2048x2048,SaltPepper,alaska-wilderness-sky-aurora-borealis-41004.png,27.998489552898043,0.1891053255271633,0.002231647970225762
2048x2048,Speckle,above-adventure-aerial-air.png,27.312127126427434,0.35813897468372885,-0.00517538221100519
2048x2048,Speckle,african-daisy-flower-nature-flora-41960.png,27.72670195388908,0.3446379774222337,0.02102867249242129
2048x2048,Speckle,air-bubbles-diving-underwater-blow-62307.png,27.42295805807331,0.24768618851331028,0.0032360194579426314
2048x2048,Speckle,alaska-wilderness-sky-aurora-borealis-41004.png,27.957388415013725,0.2801044981482648,0.011472883650672588
2048x2048,Uniform,above-adventure-aerial-air.png,27.345215952796043,0.39358629567757036,-0.000870821102874226
2048x2048,Uniform,african-daisy-flower-nature-flora-41960.png,27.39234775916644,0.36649425936999847,0.004742970986010775
2048x2048,Uniform,air-bubbles-diving-underwater-blow-62307.png,27.443338336782187,0.4113932601254053,-0.0010355295425481692
2048x2048,Uniform,alaska-wilderness-sky-aurora-borealis-41004.png,27.390340368373714,0.38255290578849044,-0.015000439198514742
256x256,Gaussian,adler-bird-bird-of-prey-raptor-53587.png,27.437803144575575,0.17942737599186406,-0.038464757438904255
256x256,Gaussian,africa-animal-big-brown-41176.png,27.95941489452545,0.15947712897348976,-0.002467274223092761
256x256,Gaussian,agriculture-arable-clouds-countryside.png,27.547836795087353,0.18081237982334408,0.017645130069929113
256x256,Gaussian,allgau-eisenberg-ostallgau-bavaria-161097.png,27.421579507526378,0.25250176155527254,0.09143515381528199
256x256,Poisson,adler-bird-bird-of-prey-raptor-53587.png,27.427034768451136,0.3700110475142695,-0.09315475266508191
256x256,Poisson,africa-animal-big-brown-41176.png,27.382076826723942,0.35821459591854643,-0.04793011494021387
256x256,Poisson,agriculture-arable-clouds-countryside.png,27.47506801557332,0.34428569223262295,0.2604937795117124
256x256,Poisson,allgau-eisenberg-ostallgau-bavaria-161097.png,27.39323751924371,0.4488352200378695,0.16244065673359748
256x256,SaltPepper,adler-bird-bird-of-prey-raptor-53587.png,27.822838692653775,0.13422007705622188,-0.10674619007616432
256x256,SaltPepper,africa-animal-big-brown-41176.png,27.957018432708402,0.14335663505603663,-0.07129569172859498
256x256,SaltPepper,agriculture-arable-clouds-countryside.png,27.811561106781532,0.11776145847394798,-0.03003321458558278
256x256,SaltPepper,allgau-eisenberg-ostallgau-bavaria-161097.png,27.555772702156357,0.17633313900828138,0.09292185202212022
256x256,Speckle,adler-bird-bird-of-prey-raptor-53587.png,27.554696328049467,0.2164210479357562,0.057252148314993416
256x256,Speckle,africa-animal-big-brown-41176.png,27.415088771159617,0.14449397807263487,-0.13811263998050397
256x256,Speckle,agriculture-arable-clouds-countryside.png,29.174225947100094,0.19032492313277097,-0.04115242658075714
256x256,Speckle,allgau-eisenberg-ostallgau-bavaria-161097.png,27.69691090094949,0.12130801299013046,-0.028352959834342308
256x256,Uniform,adler-bird-bird-of-prey-raptor-53587.png,27.583820920496084,0.3481369481624951,-0.11644653730636821
256x256,Uniform,africa-animal-big-brown-41176.png,27.513680009638676,0.2845778413059989,0.06483544574529104
256x256,Uniform,agriculture-arable-clouds-countryside.png,28.460379534456187,0.3150548985733318,-0.11076303774046671
256x256,Uniform,allgau-eisenberg-ostallgau-bavaria-161097.png,27.4756630842837,0.3778748004026461,0.08175924294167898
512x512,Gaussian,above-adventure-aerial-air.png,27.541888580564837,0.13391289221644662,-0.009030997170659968
512x512,Gaussian,african-daisy-flower-nature-flora-41960.png,27.578858060631575,0.19628350096976727,0.001975320780819801
512x512,Gaussian,air-bubbles-diving-underwater-blow-62307.png,27.395054335622838,0.15571199386667658,0.0777510951735129
512x512,Gaussian,alaska-wilderness-sky-aurora-borealis-41004_.png,27.820952623485752,0.13279591812106217,-0.051358320813005516
512x512,Poisson,above-adventure-aerial-air.png,28.845026023387263,0.3009304606007289,-0.022896817659907046
512x512,Poisson,african-daisy-flower-nature-flora-41960.png,28.23292938068247,0.3493395104949609,-0.07029966109117955
512x512,Poisson,air-bubbles-diving-underwater-blow-62307.png,27.315414431949176,0.38149468360334454,0.13317657484747983
512x512,Poisson,alaska-wilderness-sky-aurora-borealis-41004.png,29.148445663250783,0.3406398142580634,0.17250021701105708
512x512,SaltPepper,above-adventure-aerial-air.png,27.85852909063717,0.12738944297577906,0.006863197851988859
512x512,SaltPepper,african-daisy-flower-nature-flora-41960.png,27.697398577239788,0.13126176441683737,-0.031882823004092176
512x512,SaltPepper,air-bubbles-diving-underwater-blow-62307.png,27.459555160697697,0.12666870230766658,0.02688983353308737
512x512,SaltPepper,alaska-wilderness-sky-aurora-borealis-41004.png,27.520877470176192,0.11856096422293486,-0.0028390201864735213
512x512,Speckle,above-adventure-aerial-air.png,27.790513342599166,0.2574570732509858,-0.06342555471748483
512x512,Speckle,african-daisy-flower-nature-flora-41960.png,27.38570229179092,0.29437454226506554,-0.03135133802789465
512x512,Speckle,air-bubbles-diving-underwater-blow-62307.png,27.52780880532739,0.18474277214506427,0.05055149185923601
512x512,Speckle,alaska-wilderness-sky-aurora-borealis-41004.png,27.461056446111414,0.2864622075651671,-0.01623943339901462
512x512,Uniform,above-adventure-aerial-air.png,27.520642260462584,0.3439431887712168,0.012435586661971615
512x512,Uniform,african-daisy-flower-nature-flora-41960.png,27.317377913989777,0.3523674411870889,0.05416624544031684
512x512,Uniform,air-bubbles-diving-underwater-blow-62307.png,27.498368226751253,0.3404614838185597,0.10270069907224007
512x512,Uniform,alaska-wilderness-sky-aurora-borealis-41004.png,29.166531986947433,0.31334675067226586,0.09704913197787332
